CASEID,YEAR,ID,AGE,SEX,RACECEN1,HISPANIC,EDUC,MARHOMO
62404,2016,2805,54,2,2,1,12,4
62405,2016,2806,38,2,2,1,12,0
62406,2016,2807,61,2,2,1,13,2
62407,2016,2808,56,1,1,1,8,5
62408,2016,2809,58,2,2,1,12,2
62409,2016,2810,40,1,2,1,12,5
62410,2016,2811,53,2,2,1,12,0
62411,2016,2812,63,2,2,1,16,5
62412,2016,2813,62,1,1,1,12,0
62413,2016,2814,66,2,1,1,18,0
62414,2016,2815,82,2,1,1,12,2
62415,2016,2816,42,1,1,1,19,0
62416,2016,2817,53,2,1,1,18,0
62417,2016,2818,46,1,1,1,16,2
62418,2016,2819,55,1,1,1,13,5
62419,2016,2820,57,2,1,1,15,2
62420,2016,2821,51,1,1,1,12,0
62421,2016,2822,78,2,1,1,9,5
62422,2016,2823,81,2,1,1,10,1
62423,2016,2824,18,2,1,1,12,2
62424,2016,2825,71,2,1,1,12,1
62425,2016,2826,64,2,1,1,12,9
62426,2016,2827,19,1,1,1,12,0
62427,2016,2828,55,2,1,1,20,2
62428,2016,2829,85,2,1,1,12,3
62429,2016,2830,62,1,1,1,16,0
62430,2016,2831,65,2,1,1,16,0
62431,2016,2832,35,2,1,1,12,3
62432,2016,2833,27,2,1,1,18,1
62433,2016,2834,88,1,1,1,8,0
62434,2016,2835,78,2,1,1,18,1
62435,2016,2836,44,2,1,1,14,1
62436,2016,2837,60,1,1,1,16,1
62437,2016,2838,47,1,1,1,11,2
62438,2016,2839,30,2,1,1,16,0
62439,2016,2840,52,1,1,1,16,0
62440,2016,2841,72,2,1,1,16,0
62441,2016,2842,66,2,1,1,18,1
62442,2016,2843,38,1,1,1,14,1
62443,2016,2844,74,1,1,1,14,0
62444,2016,2845,24,2,1,1,14,1
62445,2016,2846,49,2,1,1,12,5
62446,2016,2847,68,1,1,1,7,0
62447,2016,2848,58,2,1,1,14,3
62448,2016,2849,62,2,1,1,17,1
62449,2016,2850,34,2,1,1,12,1
62450,2016,2851,56,1,1,1,14,3
62451,2016,2852,40,1,1,1,12,1
62452,2016,2853,63,2,1,1,12,0
62453,2016,2854,40,1,1,1,16,2
62454,2016,2855,68,1,1,1,11,4
62455,2016,2856,21,1,1,1,15,0
62456,2016,2857,35,2,1,1,15,2
62457,2016,2858,41,2,1,1,12,0
62458,2016,2859,56,2,1,1,15,0
62459,2016,2860,57,1,1,1,12,0
62460,2016,2861,68,2,1,1,13,3
62461,2016,2862,75,2,1,1,12,5
62462,2016,2863,57,2,1,1,20,0
62463,2016,2864,77,1,1,1,15,5
62464,2016,2865,87,2,1,1,14,0
62465,2016,2866,55,2,1,1,14,4
62466,2016,2867,72,1,1,1,16,3
