CASEID,SEX,EDUC,AGE,NATEDUC,NATFARE,NATROAD,NATMASS,NATHEAL,NATENVIR
58649,1,0,41,1,1,1,1,1,1
58007,2,0,78,1,1,2,3,1,3
58356,2,1,34,1,1,2,2,2,1
57246,2,3,56,1,1,2,1,2,1
58427,1,5,38,1,2,2,1,1,2
59067,1,5,64,1,1,1,1,1,1
57446,1,6,39,1,2,2,2,2,2
57633,1,6,55,1,1,2,2,1,1
57913,1,6,50,1,2,3,2,1,1
58127,1,6,59,1,3,2,2,1,1
57141,2,6,55,1,2,3,3,1,1
57595,2,6,41,1,2,2,2,1,2
57917,2,6,62,1,2,2,1,1,1
57767,1,7,58,1,2,1,2,1,1
59265,1,7,38,1,3,1,1,1,3
57973,1,8,27,1,2,1,2,2,2
59063,1,8,73,1,3,3,3,2,2
59223,1,8,58,1,2,1,2,1,1
57155,2,8,24,1,1,3,1,1,1
57887,2,8,52,1,3,1,2,1,1
59180,2,8,66,1,3,3,2,1,3
59405,2,8,67,1,1,1,1,1,1
57735,1,9,40,1,1,3,3,1,1
58510,1,9,31,1,3,1,2,3,1
58565,1,9,57,1,3,3,2,1,1
58601,1,9,59,1,3,1,1,1,1
59021,1,9,56,1,3,1,3,1,3
59272,1,9,53,1,3,2,2,1,1
58912,2,9,20,1,1,2,2,1,1
59035,2,9,53,1,1,1,1,1,1
59126,2,9,70,1,2,2,2,2,2
59276,2,9,34,1,2,2,2,2,1
59402,2,9,38,1,3,3,3,1,3
57148,1,10,56,1,1,3,3,3,3
57222,1,10,54,1,3,3,3,1,1
57520,1,10,31,1,3,1,2,1,1
57526,1,10,55,1,3,3,2,2,2
57587,1,10,50,1,3,1,3,1,3
58157,1,10,67,1,3,1,2,2,2
58671,1,10,30,1,2,2,2,1,1
58897,1,10,60,1,2,1,2,1,1
58936,1,10,79,1,3,1,1,1,1
59568,1,10,22,1,1,2,1,2,1
57100,2,10,69,1,3,1,2,2,2
57300,2,10,75,1,3,3,2,2,2
57380,2,10,31,1,1,1,2,2,2
57489,2,10,22,1,3,1,1,1,1
57617,2,10,43,1,2,2,1,1,1
57706,2,10,76,1,3,1,1,3,3
57773,2,10,59,1,3,1,1,1,1
58201,2,10,23,1,2,3,2,1,1
58217,2,10,33,1,1,2,2,1,2
58550,2,10,33,1,3,1,2,2,2
58740,2,10,39,1,1,2,1,1,1
58918,2,10,49,1,1,3,1,1,1
59079,2,10,19,1,1,1,3,1,1
59316,2,10,35,1,2,1,1,1,3
57073,1,11,56,1,3,1,1,3,3
57142,1,11,51,1,3,1,3,1,2
57161,1,11,62,1,1,1,1,1,1
57597,1,11,22,1,2,2,2,3,1
57725,1,11,79,1,3,1,1,1,1
57895,1,11,20,1,2,3,2,1,1
58047,1,11,85,1,2,2,2,1,1
58049,1,11,63,1,2,2,2,1,1
58075,1,11,53,1,3,2,2,2,1
58087,1,11,41,1,1,1,2,2,1
58618,1,11,49,1,2,2,1,1,1
58761,1,11,51,1,3,1,1,1,1
58865,1,11,42,1,3,1,2,1,1
59032,1,11,44,1,2,1,2,1,1
59064,1,11,45,1,3,1,1,1,1
59183,1,11,24,1,1,3,2,1,1
57144,2,11,35,1,1,2,1,1,1
57258,2,11,78,1,1,2,1,2,2
57276,2,11,35,1,2,1,2,1,1
57325,2,11,59,1,3,1,2,1,1
57701,2,11,49,1,1,1,2,1,1
57808,2,11,79,1,3,1,2,2,2
57918,2,11,56,1,1,1,2,1,1
57942,2,11,58,1,3,2,2,1,1
58136,2,11,34,1,1,2,1,1,1
58245,2,11,20,1,3,3,3,1,2
58450,2,11,55,1,3,3,2,1,1
58506,2,11,56,1,3,1,1,1,3
58704,2,11,25,1,3,2,2,1,1
58738,2,11,48,1,3,2,2,1,1
59277,2,11,56,1,3,1,2,2,3
59312,2,11,42,1,1,1,2,1,1
59341,2,11,37,1,3,2,2,1,1
59362,2,11,53,1,3,1,1,1,3
59458,2,11,56,1,3,1,2,3,1
